TIME,lc1,lc2,lc3,lc4,lc5
34.5,8790.001,9400.001,2200.0002,1650.0001,380.00003
34.6,11150.001,11020.001,2440.0002,1490.0001,700.00006
34.7,11340.001,12270.001,2450.0002,1750.0001,530.00006
34.8,13320.001,14640.001,3680.0002,2330.0002,830.00006
34.9,13130.001,14060.001,2920.0002,1880.0001,750.00006
35.0,13860.001,14270.001,3240.0002,2090.0002,710.00006
35.1,11490.001,11530.001,2620.0002,1730.0001,530.00006
35.2,11080.001,10890.001,2040.0001,1580.0001,640.00006
35.3,11790.001,12270.001,2660.0002,1820.0001,710.00006
35.4,11860.001,11720.001,2650.0002,1740.0001,560.00006
35.5,10530.001,11500.001,2560.0002,1560.0001,560.00006
35.6,9380.001,10010.001,2110.0002,1510.0001,440.00003
35.7,10630.001,11330.001,2760.0002,1900.0001,790.00006
35.8,10360.001,12120.001,2480.0002,1600.0001,510.00003
35.9,11570.001,12090.001,2740.0002,1900.0001,670.00006
36.0,11560.001,11440.001,2670.0002,1830.0001,490.00003
36.1,12670.001,12580.001,2750.0002,2010.0001,670.00006
36.2,9750.001,10480.001,2170.0002,1710.0001,580.00006
36.3,10680.001,12310.001,2960.0002,1700.0001,650.00006
36.4,10390.001,10490.001,2210.0002,1590.0001,630.00006
36.5,13070.001,13220.001,3240.0002,2230.0002,820.00006
36.6,13870.001,15740.001,3920.0002,2660.0002,790.00006
36.7,13500.001,14210.001,3220.0002,2200.0002,790.00006
36.8,10620.001,10020.001,2420.0002,1600.0001,540.00006
36.9,7650.0005,7100.0005,1650.0001,1060.0001,340.00003
37.0,6960.0005,6100.0005,1450.0001,940.00006,340.00003
37.1,8080.0005,7750.0005,1640.0001,1270.0001,280.00003
37.2,9320.001,10110.001,1980.0001,1650.0001,500.00003
37.3,11420.001,12380.001,2830.0002,1840.0001,580.00006
37.4,10660.001,11390.001,2270.0002,1620.0001,590.00006
37.5,11840.001,12280.001,2810.0002,1480.0001,700.00006
37.6,11260.001,11380.001,2030.0001,1680.0001,540.00006
37.7,10640.001,11100.001,2230.0002,1510.0001,520.00006
37.8,12000.001,13030.001,3110.0002,2220.0002,650.00006
37.9,13350.001,14740.001,3310.0002,1990.0001,840.00006
38.0,13910.001,15920.001,3270.0002,2280.0002,790.00006
38.1,12380.001,13840.001,3090.0002,2030.0001,770.00006
38.2,8770.001,8390.001,1960.0001,1210.0001,590.00006
38.3,8830.001,8820.001,1770.0001,1240.0001,320.00003
38.4,12130.001,12800.001,3210.0002,2190.0002,600.00006
38.5,9730.001,9610.001,2230.0002,1540.0001,540.00006
38.6,10710.001,10530.001,2310.0002,1290.0001,600.00006
38.7,11580.001,10290.001,2090.0002,1490.0001,500.00003
38.8,11460.001,11320.001,2570.0002,1550.0001,640.00006
38.9,11810.001,11650.001,2300.0002,1550.0001,540.00006
39.0,15850.001,17440.002,3790.0002,2800.0002,990.00006
39.1,16670.002,19100.002,4830.0005,3100.0002,1080.0001
39.2,15010.001,15700.001,3040.0002,1890.0001,640.00006
39.3,13820.001,16970.002,3480.0002,2610.0002,940.00006
39.4,13670.001,15220.001,3080.0002,2350.0002,910.00006
39.5,12660.001,13830.001,2690.0002,1860.0001,730.00006
39.6,12410.001,15520.001,3460.0002,2380.0002,960.00006
39.7,12870.001,14800.001,3680.0002,2350.0002,970.00006
39.8,11600.001,12520.001,3240.0002,2010.0001,630.00006
39.9,12120.001,12480.001,2960.0002,2140.0002,720.00006
40.0,12950.001,13620.001,3080.0002,2010.0001,650.00006
40.1,14140.001,14800.001,3050.0002,2300.0002,780.00006
40.2,11440.001,11140.001,2730.0002,1650.0001,500.00003
40.3,8980.001,8830.001,1960.0001,1360.0001,460.00003
40.4,9300.001,9120.001,2180.0002,1610.0001,560.00006
40.5,8390.001,8370.001,1630.0001,1290.0001,420.00003
40.6,8830.001,7950.0005,1440.0001,1230.0001,370.00003
40.7,9840.001,9750.001,2360.0002,1350.0001,580.00006
40.8,9940.001,10180.001,2110.0002,1500.0001,540.00006
40.9,9230.001,9590.001,2170.0002,1370.0001,540.00006
41.0,8830.001,8220.001,1560.0001,1170.0001,460.00003
41.1,7980.0005,7820.0005,1780.0001,1080.0001,450.00003
41.2,6520.0005,6760.0005,1460.0001,1050.0001,380.00003
41.3,6830.0005,5560.0005,1120.0001,800.00006,380.00003
41.4,6890.0005,5840.0005,1170.0001,810.00006,200.00002
41.5,8350.001,8230.001,1720.0001,1140.0001,310.00003
41.6,11240.001,10850.001,2060.0002,1530.0001,580.00006
41.7,12240.001,12250.001,2630.0002,2010.0001,690.00006
41.8,12260.001,14020.001,3420.0002,1980.0001,580.00006
41.9,8850.001,8450.001,1560.0001,1450.0001,440.00003
42.0,5120.0005,3820.0002,930.00006,550.00006,140.00002
42.1,4250.0005,3240.0002,610.00006,570.00006,190.00002
42.2,4090.0002,3240.0002,760.00006,460.00003,90.00001
42.3,4870.0005,4640.0005,1140.0001,880.00006,230.00002
42.4,6890.0005,6330.0005,1530.0001,940.00006,260.00003
42.5,8600.001,8550.001,1800.0001,1290.0001,450.00003
42.6,8170.0005,7390.0005,1360.0001,770.00006,220.00002
42.7,9260.001,8810.001,1910.0001,1070.0001,510.00003
42.8,7840.0005,6930.0005,1690.0001,880.00006,360.00003
42.9,7630.0005,6590.0005,1300.0001,850.00006,290.00003
43.0,6310.0005,4920.0005,1070.0001,680.00006,310.00003
43.1,4370.0005,2960.0002,580.00006,460.00003,190.00002
43.2,5530.0005,4670.0005,910.00006,650.00006,300.00003
43.3,6930.0005,6400.0005,1340.0001,1020.00006,460.00003
43.4,6030.0005,4500.0005,990.00006,630.00006,220.00002
43.5,5790.0005,4290.0005,920.00006,590.00006,200.00002
43.6,6230.0005,5160.0005,1090.0001,680.00006,270.00003
43.7,7400.0005,5830.0005,1170.0001,660.00006,340.00003
43.8,6860.0005,5810.0005,1130.0001,710.00006,200.00002
43.9,5640.0005,4690.0005,920.00006,530.00006,140.00002
