time,band1,band2,band3,band4,band5
37.3,11190.001,12390.001,2840.0002,1830.0001,580.00006
37.4,10480.001,11380.001,2270.0002,1610.0001,590.00006
37.5,11620.001,12270.001,2810.0002,1470.0001,700.00006
37.6,11020.001,11410.001,2000.0001,1670.0001,540.00006
37.7,10340.001,11080.001,2230.0002,1500.0001,520.00006
37.8,11920.001,13010.001,3110.0002,2210.0002,650.00006
37.9,13150.001,14730.001,3300.0002,1970.0001,840.00006
38.0,13740.001,15940.001,3280.0002,2250.0002,790.00006
38.1,12040.001,13850.001,3090.0002,2020.0001,770.00006
38.2,8540.001,8370.001,1990.0001,1200.0001,590.00006
38.3,8720.001,8800.001,1770.0001,1230.0001,320.00003
38.4,11920.001,12790.001,3220.0002,2170.0002,600.00006
38.5,9410.001,9650.001,2230.0002,1540.0001,540.00006
38.6,10470.001,10530.001,2310.0002,1290.0001,600.00006
38.7,11330.001,10300.001,2090.0002,1480.0001,500.00003
38.8,11200.001,11320.001,2560.0002,1540.0001,640.00006
38.9,11570.001,11670.001,2290.0002,1540.0001,540.00006
39.0,15530.001,17450.002,3780.0002,2770.0002,990.00006
39.1,16340.001,19130.002,4800.0005,3080.0002,1080.0001
39.2,14830.001,15720.001,3010.0002,1890.0001,640.00006
39.3,13540.001,17000.002,3470.0002,2540.0002,950.00006
39.4,13440.001,15250.001,3080.0002,2340.0002,910.00006
39.5,12400.001,13810.001,2690.0002,1850.0001,730.00006
39.6,12230.001,15510.001,3450.0002,2380.0002,960.00006
39.7,12710.001,14760.001,3690.0002,2320.0002,970.00006
39.8,11310.001,12530.001,3240.0002,1970.0001,630.00006
39.9,11920.001,12500.001,2960.0002,2130.0002,720.00006
40.0,12680.001,13620.001,3070.0002,2000.0001,650.00006
40.1,13920.001,14790.001,3050.0002,2280.0002,780.00006
40.2,11180.001,11140.001,2730.0002,1650.0001,500.00003
40.3,8800.001,8830.001,1960.0001,1360.0001,460.00003
40.4,9140.001,9120.001,2180.0002,1610.0001,560.00006
40.5,8250.001,8390.001,1630.0001,1290.0001,420.00003
40.6,8680.001,7940.0005,1440.0001,1230.0001,370.00003
40.7,9610.001,9760.001,2360.0002,1350.0001,580.00006
40.8,9770.001,10160.001,2120.0002,1500.0001,540.00006
40.9,9090.001,9580.001,2170.0002,1370.0001,540.00006
41.0,8620.001,8200.001,1560.0001,1170.0001,460.00003
41.1,7770.0005,7850.0005,1780.0001,1070.0001,450.00003
41.2,6370.0005,6740.0005,1460.0001,1050.0001,380.00003
41.3,6640.0005,5560.0005,1100.0001,790.00006,380.00003
41.4,6690.0005,5860.0005,1160.0001,790.00006,200.00002
41.5,8170.0005,8230.001,1720.0001,1130.0001,310.00003
41.6,10990.001,10850.001,2060.0002,1530.0001,580.00006
41.7,12010.001,12240.001,2620.0002,2000.0001,680.00006
